"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","sd_estimate","std_bias"
2000,0.2,0.200000000000002,80.4848587201638,"setting_one","super","single_stage","m1",49.619011747341,-0.380988252658976,997.995,5.2506200467495,-0.0725606212726885
2000,0.2,0.200000000000002,80.4848587201638,"setting_one","unadj","single_stage","m1",50.0912021674034,0.0912021674033837,997.995,5.53513777957749,0.0164769461999454
2000,0.2,0.200000000000002,80.4848587201638,"setting_one","xgboost","single_stage","m1",48.2779735924201,-1.72202640757991,997.995,6.47825265375843,-0.265816493986361
2000,0.4,0.4,47.4079613912665,"setting_one","bart","single_stage","m1",49.9996224599386,-0.00037754006143228,1000.189,3.18675281235725,-0.000118471712009885
2000,0.4,0.4,47.4079613912665,"setting_one","correct_model","single_stage","m1",50.1877863622678,0.187786362267785,1000.189,2.99861693739643,0.0626243252100188
2000,0.4,0.4,47.4079613912665,"setting_one","lm_interact","single_stage","m1",50.1120745178335,0.112074517833474,1000.189,3.66574733519269,0.030573443171468
2000,0.4,0.4,47.4079613912665,"setting_one","lm","single_stage","m1",50.141946222131,0.14194622213104,1000.189,3.13452100541914,0.0452848208340716
2000,0.4,0.4,47.4079613912665,"setting_one","rf","single_stage","m1",47.5314845303545,-2.46851546964553,1000.189,3.51174274405659,-0.702931749150286
2000,0.4,0.4,47.4079613912665,"setting_one","super","single_stage","m1",49.7553944142395,-0.244605585760486,1000.189,3.15463544768126,-0.0775384635775513
2000,0.4,0.4,47.4079613912665,"setting_one","unadj","single_stage","m1",50.1271976320947,0.127197632094732,1000.189,3.81386647078493,0.0333513595898269
2000,0.4,0.4,47.4079613912665,"setting_one","xgboost","single_stage","m1",49.2607504277847,-0.739249572215333,1000.189,3.77006688232063,-0.196083941025549
2000,0.6,0.600000000000005,28.8966426295555,"setting_one","bart","single_stage","m1",49.8557327172017,-0.144267282798283,1000.121,2.06097944465861,-0.0699993797474194
2000,0.6,0.600000000000005,28.8966426295555,"setting_one","correct_model","single_stage","m1",50.0053883094922,0.00538830949217372,1000.121,1.75228076750836,0.00307502632688
2000,0.6,0.600000000000005,28.8966426295555,"setting_one","lm_interact","single_stage","m1",49.9821929916047,-0.0178070083953423,1000.121,2.56059718352224,-0.00695424040529786
2000,0.6,0.600000000000005,28.8966426295555,"setting_one","lm","single_stage","m1",50.0290732932821,0.0290732932821352,1000.121,1.99704584104222,0.0145581501859579
2000,0.6,0.600000000000005,28.8966426295555,"setting_one","rf","single_stage","m1",47.9175284720471,-2.08247152795293,1000.121,2.2311905353552,-0.933345447174642
2000,0.6,0.600000000000005,28.8966426295555,"setting_one","super","single_stage","m1",49.701179221647,-0.29882077835298,1000.121,2.02627094982669,-0.147473257896995
