"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
39,52.3451326930556,2.34513269305557,3.34208159913554,0.0961937445913819,52.2489389484642,45.7947731253559,58.8954922607553,45.6985793807645,58.7992985161639,1,1,0,1,1.40553498268127,1.4107940196991,1,"lm"
40,48.4425000743381,-1.55749992566194,2.91067325005954,0.282546869633443,48.1599532047046,42.7376853334572,54.1473148152189,42.4551384638238,53.8647679455855,1,1,0,1,1.42324590682983,1.42976498603821,1,"lm"
41,54.8429966781287,4.84299667812867,3.09833338260878,0.0192633581924255,54.8237333199362,48.7703748361173,60.91561852014,48.7511114779249,60.8963551619476,1,1,0,1,1.43585586547852,1.44118905067444,1,"lm"
42,49.7849219732054,-0.215078026794551,3.55576261978948,0.0357069027768944,49.7492150704286,42.8157553008443,56.7540886455666,42.7800483980674,56.7183817427897,1,1,0,1,1.42868399620056,1.43772912025452,1,"lm"
43,55.8521634339944,5.85216343399438,3.17899872765134,0.0670795671962878,55.7850838667981,49.6214404208991,62.0828864470897,49.5543608537028,62.0158068798934,1,1,0,1,1.49298405647278,1.49825811386108,1,"lm"
44,55.0414668877129,5.04146688771291,3.60572060518327,-0.43309364393658,55.4745605316495,47.9743843632397,62.1085494121861,48.4074780071763,62.5416430561227,1,1,0,1,1.42342901229858,1.42862391471863,1,"lm"
45,49.891702900427,-0.108297099573029,3.17474873897063,0.313078096276563,49.5786248041504,43.6693097120806,56.1140960887734,43.356231615804,55.8010179924968,1,1,0,1,1.41621899604797,1.42146587371826,1,"lm"
46,49.997830769944,-0.00216923005600478,3.16146087226962,-0.142184484056216,50.1400152540002,43.801481321763,56.194180218125,43.9436658058192,56.3363647021812,1,1,0,1,1.41384696960449,1.41913294792175,1,"lm"
47,45.4109532187948,-4.58904678120523,3.37999031350953,0.501826723799319,44.9091264949954,38.7862939362219,52.0356125013677,38.2844672124225,51.5337857775684,1,1,0,1,1.41783094406128,1.42308712005615,1,"lm"
48,48.4230981951063,-1.57690180489368,3.03902504693818,-0.157750640440504,48.5808488355468,42.4667185549923,54.3794778352203,42.6244691954329,54.5372284756608,1,1,0,1,1.40068483352661,1.4057719707489,1,"lm"
49,55.9629169737325,5.9629169737325,3.10771265027627,0.129350779600863,55.8335661941316,49.8719121048915,62.0539218425735,49.7425613252906,61.9245710629726,1,1,0,1,1.42693209648132,1.43335604667664,1,"lm"
