"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
27,"lm_interact",45.5574255208725,-4.44257447912752,3.19420961869008,0.457169343142766,45.1002561777297,39.2968897091685,51.8179613325765,38.8397203660257,51.3607919894337,1,1,0,1,2.08917784690857,2.09481811523438,1
28,"lm_interact",54.1693200148348,4.16932001483484,3.42266578607687,0.887466587790882,53.281853427044,47.4610183430067,60.877621686663,46.5735517552158,59.9901550988721,1,1,0,1,2.12246322631836,2.12821793556213,1
29,"lm_interact",56.882699988126,6.88269998812606,3.69908172090817,-0.694390427229258,57.5770904153553,49.6326330392756,64.1327669369765,50.3270234665049,64.8271573642058,1,0,0,1,2.7872679233551,2.80162692070007,1
30,"lm_interact",46.7934760667416,-3.2065239332584,2.91930986241436,0.119426292920167,46.6740497738214,41.0717338766969,52.5152182567863,40.9523075837767,52.3957919638662,1,1,0,1,2.14116883277893,2.16026997566223,1
31,"lm_interact",53.9830144431101,3.98301444311014,3.11943317275879,-0.914431882813751,54.8974463259239,47.8690377723234,60.0969911138969,48.7834696551372,61.0114229967106,1,1,0,1,2.1221330165863,2.1339008808136,1
32,"lm_interact",52.2757675770287,2.27576757702871,3.38041203074167,-0.834331583269275,53.110099160298,45.6502817438691,58.9012534101883,46.4846133271384,59.7355849934576,1,1,0,1,2.18366003036499,2.18951392173767,1
33,"lm_interact",51.5022117279655,1.50221172796549,3.38964266898509,-0.274250339986807,51.7764620679523,44.8586341762945,58.1457892796365,45.1328845162813,58.4200396196233,1,1,0,1,2.12440490722656,2.13300895690918,1
34,"lm_interact",49.8295412755898,-0.170458724410196,3.208989950501,0.0590194037659231,49.7705218718239,43.5400365458569,56.1190460053227,43.481017142091,56.0600266015568,1,1,0,1,1.96642303466797,1.97375202178955,1
35,"lm_interact",51.3888271091188,1.38882710911882,3.31660813901948,0.164670756198959,51.2241563529199,44.8883946058082,57.8892596124294,44.7237238496093,57.7245888562305,1,1,0,1,2.02857995033264,2.03425002098083,1
36,"lm_interact",50.8444270507835,0.844427050783501,3.40661081979513,-0.0753522968042475,50.9197793475877,44.1675925346406,57.5212615669264,44.2429448314448,57.5966138637307,1,1,0,1,1.9652829170227,1.98435807228088,1
37,"lm_interact",55.3238791788359,5.32387917883586,3.33695184273683,-0.629168672959388,55.9530478517952,48.7835737489271,61.8641846087446,49.4127424218865,62.493353281704,1,1,0,1,1.93852400779724,1.94425487518311,1
38,"lm_interact",45.4239921054177,-4.5760078945823,3.34417241887092,0.947998335416393,44.4759937700013,38.8695346063385,51.9784496044969,37.9215362709221,51.0304512690805,1,1,0,1,2.00167894363403,2.00823187828064,1
39,"lm_interact",52.0591045457252,2.05910454572522,3.4184105121197,0.404789010045334,51.6543155356799,45.3591430575975,58.759066033853,44.9543540475522,58.3542770238076,1,1,0,1,1.93460488319397,1.94057297706604,1
40,"lm_interact",48.6807780577219,-1.31922194227815,2.9521441007874,0.0543676406485432,48.6264104170733,42.8946819430062,54.4668741724375,42.8403143023576,54.412506531789,1,1,0,1,2.72029709815979,2.73673391342163,1
41,"lm_interact",55.4915884654357,5.4915884654357,3.1577677688431,-0.562348945379256,56.053937410815,49.3024773669618,61.6806995639096,49.8648263123411,62.2430485092888,1,1,0,1,1.92509293556213,1.9340980052948,1
42,"lm_interact",49.2715324165761,-0.728467583423893,3.56349227156531,0.542261214595385,48.7292712019807,42.2872159051213,56.2558489280309,41.7449546905259,55.7135877134355,1,1,0,1,1.99631595611572,2.00500202178955,1
43,"lm_interact",55.9996130141402,5.99961301414023,3.22293013087589,-0.00697819898164909,56.0065912131219,49.6827860329345,62.3164399953459,49.6897642319162,62.3234181943276,1,1,0,1,1.99581003189087,2.00165390968323,1
44,"lm_interact",54.4125889743815,4.41258897438148,3.65971145451018,0.188847758253921,54.2237412161276,47.2396863297328,61.5854916190301,47.0508385714789,61.3966438607762,1,1,0,1,1.93070387840271,1.94618892669678,1
45,"lm_interact",49.2775278309522,-0.72247216904784,3.1914524776943,0.879604535060608,48.3979232958916,43.0223959163002,55.5326597456041,42.1427913812396,54.6530552105435,1,1,0,1,1.93524193763733,1.94129705429077,1
46,"lm_interact",49.8345613739474,-0.165438626052612,3.21047353267496,-0.0834240872374892,49.9179854611849,43.5421488765854,56.1269738713094,43.6255729638229,56.2103979585469,1,1,0,1,1.95489406585693,1.96109795570374,1
47,"lm_interact",45.7740141463816,-4.22598585361843,3.42367314454086,0.0672495527533528,45.7067645936282,39.0637380882445,52.4842902045186,38.9964885354912,52.4170406517653,1,1,0,1,2.02156615257263,2.02759194374084,1
48,"lm_interact",47.8565837113628,-2.14341628863718,3.0636880714543,0.522032586580885,47.3345511247819,41.8518654314474,53.8613019912782,41.3298328448665,53.3392694046973,1,1,0,1,1.99604892730713,2.00485491752625,1
