"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
335,58.8943259700791,8.89432597007911,6.20452179840603,-0.862206703212898,59.756532673292,46.7336867039096,71.0549652362486,47.5958934071225,71.9171719394615,1,1,0,1,611.966247081757,614.780339002609,1,"bart"
336,45.2939822362678,-4.7060177637322,5.0006409368438,0.282624944169669,45.0113572920981,35.4929061004373,55.0950583720983,35.2102811562677,54.8124334279286,1,1,0,1,620.662201881409,623.039338827133,1,"bart"
337,54.5877810965387,4.58778109653873,5.19041032284725,-0.372529856370868,54.9603109529096,44.4147637987732,64.7607983943043,44.7872936551441,65.1333282506751,1,1,0,1,604.60783791542,606.957941055298,1,"bart"
338,52.7187756147722,2.71877561477223,5.71377296767852,1.26923840845686,51.4495372063154,41.5199863822838,63.9175648472607,40.2507479738269,62.6483264388038,1,1,0,1,603.907874107361,606.235581159592,1,"bart"
339,52.3934826535297,2.3934826535297,5.75329842691577,-1.54328369930467,53.9367663528344,41.1172249444638,63.6697403625956,42.6605086437685,65.2130240619002,1,1,0,1,609.501720905304,611.916337966919,1,"bart"
340,47.4669288599931,-2.53307114000688,5.20999744358845,0.224026657109569,47.2429022028835,37.255521511014,57.6783362089722,37.0314948539044,57.4543095518627,1,1,0,1,607.448590993881,609.758047103882,1,"bart"
341,57.7692517936119,7.76925179361194,4.88321978128626,-0.823867661189873,58.5931194548018,48.1983168936973,67.3401866935266,49.0221845548872,68.1640543547164,1,1,0,1,619.310313940048,621.891380786896,1,"bart"
342,50.3446375743468,0.344637574346827,4.8318147593733,-0.461488851055613,50.8061264254024,40.8744546660061,59.8148204826876,41.3359435170617,60.2763093337432,1,1,0,1,613.796981811523,616.17480802536,1,"bart"
343,54.9079918963022,4.90799189630216,5.0852726974678,0.517634102480201,54.390357793822,44.9410405577004,64.8749432349039,44.4234064552202,64.3573091324237,1,1,0,1,634.754781961441,637.219120979309,1,"bart"
344,50.7199129100764,0.719912910076431,5.10514654541898,0.141730317817675,50.5781825922588,40.7140095452562,60.7258162748967,40.5722792274385,60.584085957079,1,1,0,1,630.811829090118,633.293793916702,1,"bart"
345,45.8500808750212,-4.14991912497879,5.25241327361672,0.109868108503711,45.7402127665175,35.5555400268123,56.1446217232301,35.4456719183086,56.0347536147264,1,1,0,1,619.022966861725,621.384833097458,1,"bart"
346,44.1380191381437,-5.8619808618563,5.27498104699867,1.4797289111894,42.6582902269543,33.7992462668949,54.4767920093925,32.3195173557055,52.9970630982031,1,1,0,1,659.719828128815,662.025666952133,1,"bart"
347,46.9431266126599,-3.05687338734014,4.38451014909439,1.11133749487357,45.8317891177863,38.3496446305845,55.5366085947352,37.238307135711,54.4252710998616,1,1,0,1,675.85747218132,678.82096195221,1,"bart"
348,56.7572540433608,6.75725404336083,4.6290172407975,-1.39649534390357,58.1537493872644,47.6845469675828,65.8299611191389,49.0810423114863,67.2264564630425,1,1,0,1,639.114504098892,641.693995952606,1,"bart"
349,43.23562945658,-6.76437054341996,5.33352953056437,-1.71822703681469,44.9538564933947,32.782103666193,53.689155246967,34.5003307030077,55.4073822837817,1,1,0,1,643.263612985611,645.69539308548,1,"bart"
350,50.6344209892389,0.634420989238876,5.28238117784034,0.263562099794122,50.3708588894448,40.2811441280595,60.9876978504182,40.0175820282654,60.7241357506241,1,1,0,1,656.559823989868,659.200266838074,1,"bart"
351,53.1648893741404,3.16488937414044,4.72895672835183,0.521433278401091,52.6434560957394,43.8963045021225,62.4334742461584,43.3748712237214,61.9120409677573,1,1,0,1,643.69419503212,646.528419971466,1,"bart"
352,64.9328871258379,14.9328871258379,7.06144604637381,0.965773094122625,63.9671140317152,51.0927071961724,78.7730670555033,50.1269341020498,77.8072939613806,0,0,1,1,621.356274843216,623.726963996887,0,"bart"
353,53.1825237726845,3.18252377268447,5.25570082049291,1.58228643326277,51.6002373394217,42.8815394510008,63.4835080943682,41.299253017738,61.9012216611054,1,1,0,1,621.452630996704,623.893042802811,1,"bart"
354,54.2271715156789,4.22717151567892,4.94418190845489,-1.08661681118636,55.3137883268653,44.5367530420928,63.917589989265,45.6233698532792,65.0042068004514,1,1,0,1,614.066617012024,616.441846847534,1,"bart"
355,47.7806112645082,-2.21938873549185,4.99252437747641,0.464134555511514,47.3164767089966,37.9954432927161,57.5657792363002,37.5313087372046,57.1016446807887,1,1,0,1,626.45885515213,628.934491157532,1,"bart"
356,45.6138619998125,-4.38613800018748,4.81005934211402,1.14713932735582,44.4667226724567,36.1863189257686,55.0414050738564,35.0391795984128,53.8942657465006,1,1,0,1,627.031026124954,629.471082925797,1,"bart"
357,47.1813705626203,-2.81862943737971,4.99269734390227,0.401673019019206,46.7796975436011,37.3958635828631,56.9668775423775,36.9941905638439,56.5652045233583,1,1,0,1,626.367619037628,628.791364192963,1,"bart"
358,50.463116815236,0.463116815235971,5.14091672292193,-0.551391284556438,51.0145080997924,40.3871051907893,60.5391284396826,40.9384964753458,61.0905197242391,1,1,0,1,620.412992954254,622.823349952698,1,"bart"
