"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec"
149,"lm_interact",49.0268629570046,-0.973137042995447,2.03779840557698,0.174364172501519,48.852498784503,45.0328514743205,53.0208744396886,44.858487301819,52.8465102671871,1,1,0,1,2.73114013671875,2.73844218254089
15,"lm_interact",49.2184722596353,-0.781527740364716,1.84432907279092,0.0456819748057313,49.1727902848296,45.6036537013249,52.8332908179456,45.5579717265192,52.7876088431399,1,1,0,1,3.62864899635315,3.65050792694092
150,"lm_interact",50.487911092978,0.487911092977981,2.25612052247931,-0.132481259882532,50.6203923528605,46.0659961241368,54.9098260618191,46.1984773840194,55.0423073217016,1,1,0,1,2.74664878845215,2.75327610969543
151,"lm_interact",52.8517877651064,2.85178776510642,2.18162646297746,0.0574541710761949,52.7943335940302,48.5758784699511,57.1276970602617,48.5184242988749,57.0702428891856,1,1,0,1,2.68012285232544,2.69256210327148
153,"lm_interact",50.7881598347778,0.788159834777758,2.02824275501011,-0.0876457786104012,50.8758056133882,46.8128770830537,54.7634425865019,46.9005228616641,54.8510883651123,1,1,0,1,2.7937068939209,2.80803608894348
154,"lm_interact",50.179137863562,0.179137863561969,2.05500704378818,-0.0561816880262782,50.2353195515882,46.151398069761,54.2068776573629,46.2075797577873,54.2630593453892,1,1,0,1,2.60695505142212,2.6138699054718
155,"lm_interact",48.4019184973108,-1.59808150268915,1.98811341530462,-0.326179627447175,48.728098124758,44.5052878061329,52.2985491884888,44.83146743358,52.624728815936,1,1,0,1,2.50204610824585,2.50919485092163
156,"lm_interact",47.4264461925237,-2.57355380747634,2.07057819639865,0.295539283692726,47.1309069088309,43.3681875004084,51.4847048846389,43.0726482167157,51.1891656009462,1,1,0,1,2.35594511032104,2.36653900146484
157,"lm_interact",48.1524262560111,-1.8475737439889,1.86162680894561,0.394872335025774,47.7575539209853,44.5037047578235,51.8011477541987,44.1088324227977,51.406275419173,1,1,0,1,2.47177505493164,2.47863698005676
159,"lm_interact",50.1333913846169,0.133391384616942,2.1625626061381,-0.0640669523413564,50.1974583369583,45.8948465622732,54.3719362069607,45.9589135146146,54.436003159302,1,1,0,1,2.45111489295959,2.46405100822449
16,"lm_interact",53.0449181952246,3.0449181952246,2.1594324817719,0.0776992963829315,52.9672188988417,48.8125083039057,57.2773280865435,48.7348090075228,57.1996287901605,1,1,0,1,2.39219999313354,2.43496298789978
160,"lm_interact",51.7801456523867,1.78014565238668,2.2384207255876,-0.0251447317040174,51.8052903840907,47.392921647987,56.1673696567864,47.418066379691,56.1925143884904,1,1,0,1,2.47995400428772,2.49449801445007
161,"lm_interact",47.0763655851017,-2.92363441489833,2.21246332424077,-0.0376469953036747,47.1140125804053,42.740017152474,51.4127140177293,42.7776641477777,51.450361013033,1,1,0,1,2.45053195953369,2.45788311958313
162,"lm_interact",50.5058599297566,0.505859929756575,2.19143633289619,-0.120677948339299,50.6265378780959,46.2107236428675,54.8009962166456,46.3314015912068,54.9216741649849,1,1,0,1,2.5526819229126,2.5613329410553
164,"lm_interact",51.9155239779544,1.91552397795439,2.27911684416903,-0.189715291923733,52.1052392698781,47.4485370468245,56.3825109090843,47.6382523387482,56.572226201008,1,1,0,1,2.41940021514893,2.43529796600342
165,"lm_interact",48.9002486607558,-1.09975133924421,2.25048051061849,-0.176169077276867,49.0764177380327,44.4893879120342,53.3111094094773,44.6655569893111,53.4872784867542,1,1,0,1,2.43878793716431,2.44593214988708
17,"lm_interact",46.5523537963436,-3.44764620365643,2.07554707925428,-0.472222518862864,47.0245763152064,42.4843562727879,50.6203513198993,42.9565787916507,51.0925738387621,1,1,0,1,2.40545988082886,2.41723799705505
18,"lm_interact",51.3326304877923,1.33263048779228,2.06415018275345,-0.0716674528795167,51.4042979406718,47.2869704709137,55.3782905046708,47.3586379237933,55.4499579575503,1,1,0,1,2.52361106872559,2.53472995758057
19,"lm_interact",49.6344644383638,-0.365535561636207,2.14030115203304,0.12067789138947,49.5137865469743,45.4395512643094,53.8293776124181,45.31887337292,53.7086997210287,1,1,0,1,2.45627880096436,2.47253608703613
2,"lm_interact",49.9310955471033,-0.0689044528966605,2.26145579293148,0.0594417634812885,49.871653783622,45.4987236403282,54.3634674538785,45.4392818768469,54.3040256903972,1,1,0,1,3.98869895935059,4.0399739742279
20,"lm_interact",49.760602178138,-0.239397821862013,2.10298192359257,0.101714232298164,49.6588879458398,45.6388333477578,53.8823710085182,45.5371191154596,53.78065677622,1,1,0,1,3.394198179245,3.41577410697937
21,"lm_interact",51.175530923488,1.17553092348795,2.16358756865171,-0.208450415805011,51.383981339293,46.934977211532,55.4160846354439,47.143427627337,55.6245350512489,1,1,0,1,2.52485609054565,2.53266787528992
22,"lm_interact",52.3920144392964,2.39201443929641,2.17285677016379,0.166137431480067,52.2258770078163,48.1332934262114,56.6507354523815,47.9671559947313,56.4845980209014,1,1,0,1,2.46588087081909,2.48589682579041
23,"lm_interact",53.5181034367404,3.51810343674044,2.33502964724351,0.141253475148496,53.3768499615919,48.9415294253099,58.094677448171,48.8002759501614,57.9534239730225,1,1,0,1,2.51468205451965,2.52538800239563
24,"lm_interact",48.6200977618694,-1.37990223813063,1.95256013276031,0.0792004336298433,48.5408973282395,44.7931502240104,52.4470452997283,44.7139497903806,52.3678448660985,1,1,0,1,2.53739094734192,2.54800009727478
25,"lm_interact",50.3496407419711,0.349640741971093,1.88528118380091,-0.143000487820537,50.4926412297916,46.6545575209903,54.0447239629519,46.7975580088108,54.1877244507724,1,1,0,1,2.57397603988647,2.58092498779297
26,"lm_interact",47.0584723162144,-2.94152768378557,2.00305552504904,0.0781312490104185,46.980341067204,43.1325556280844,50.9843890043445,43.0544243790739,50.9062577553341,1,1,0,1,3.64195513725281,3.6502628326416
27,"lm_interact",52.1155286977852,2.11552869778519,2.3418772567193,-0.696167145157361,52.8116958429425,47.5255336184019,56.7055237771685,48.2217007635593,57.4016909223258,1,1,0,1,2.1583080291748,2.16733813285828
28,"lm_interact",50.5730367482697,0.573036748269736,2.08325784915909,0.0779409008655563,50.4950958474042,46.4899263934075,54.6561471031319,46.411985492542,54.5782062022664,1,1,0,1,2.35114288330078,2.35850882530212
29,"lm_interact",48.6103948285709,-1.3896051714291,2.0115598528248,0.0454331831329284,48.564961645438,44.6678099642876,52.5529796928542,44.6223767811547,52.5075465097213,1,1,0,1,2.43877792358398,2.44806599617004
3,"lm_interact",49.9058977279822,-0.0941022720177926,2.24653059602054,0.000786400951483301,49.9051113270307,45.5027786696146,54.3090167863498,45.5019922686632,54.3082303853983,1,1,0,1,3.99042081832886,4.04252696037292
30,"lm_interact",43.8093894412799,-6.19061055872011,2.12235079806989,0.427975862953538,43.3814135783264,39.6496583145031,47.9691205680567,39.2216824515495,47.5411447051032,0,0,1,1,2.39654779434204,2.40513205528259
