"Estimator","mean_estimate","mean_bias","sd_estimate","var_estimate","n","target_r2","achieved_r2_raw","ss","relative_efficiency"
"super",49.9846214970917,-0.0153785029082687,2.16930950411106,4.70590372462657,2000,0.4,0.399999999999999,47.2971889375013,1.02374908351637
"xgboost",50.1220136970035,0.122013697003453,2.25887087567641,5.10249763297909,2000,0.4,0.399999999999999,47.2971889375013,0.944177728582291
"correct_model",50.0966472774981,0.0966472774980711,2.10159834945571,4.41671562243496,2000,0.4,0.399999999999999,47.2971889375013,1.09077990005313
"unadj",50.058919916567,0.0589199165670032,2.02671871773391,4.107588760813,2000,0.6,0.600000000000008,28.9729226647621,0.537934310847482
"lm",50.0037370944448,0.00373709444477789,1.48647668306395,2.2096129292928,2000,0.6,0.600000000000008,28.9729226647621,1
"lm_interact",50.0078135977093,0.00781359770930732,1.48526634469767,2.20601611469158,2000,0.6,0.600000000000008,28.9729226647621,1.00163045708382
"rf",50.0409654473768,0.0409654473767839,1.37720484117647,1.89669317455992,2000,0.6,0.600000000000008,28.9729226647621,1.16498174767012
"bart",50.0484518126609,0.0484518126609437,1.37035027527778,1.87785987695388,2000,0.6,0.600000000000008,28.9729226647621,1.17666549906645
"super",49.9166090065008,-0.0833909934991784,1.37468212889348,1.8897509554991,2000,0.6,0.600000000000008,28.9729226647621,1.16926144308218
"xgboost",50.03767505986,0.0376750598599899,1.45089870854173,2.10510706244806,2000,0.6,0.600000000000008,28.9729226647621,1.04964396761997
"correct_model",50.0561380122908,0.056138012290778,1.29328840853253,1.67259490764459,2000,0.6,0.600000000000008,28.9729226647621,1.32106878909757
"unadj",50.0282080849132,0.0282080849131909,1.70876013480923,2.91986119831325,2000,0.8,0.8,11.8140479563888,0.284640821418211
"lm",50.0219410811308,0.0219410811307845,0.911653272859284,0.831111689915043,2000,0.8,0.8,11.8140479563888,1
"lm_interact",50.0214439166792,0.0214439166792023,0.912022572955312,0.831785173580028,2000,0.8,0.8,11.8140479563888,0.999190315376643
"rf",50.0278977828507,0.0278977828507223,0.635205894955915,0.403486528986745,2000,0.8,0.8,11.8140479563888,2.05982512477473
"bart",50.0236476624615,0.0236476624614645,0.590609951684035,0.348820115028218,2000,0.8,0.8,11.8140479563888,2.3826369355099
"super",49.9163173165577,-0.0836826834423119,0.57677612405978,0.332670697285422,2000,0.8,0.8,11.8140479563888,2.49830146357006
"xgboost",50.0277534438706,0.0277534438706345,0.616721670353775,0.38034561868395,2000,0.8,0.8,11.8140479563888,2.1851485835194
"correct_model",50.013896744371,0.0138967443709502,0.512371390904589,0.262524442217503,2000,0.8,0.8,11.8140479563888,3.16584498911709
"unadj",50.0114178162936,0.0114178162936155,8.05918825048899,64.9505152568199,500,0.2,0.200000000000001,82.2909199108999,0.859645389088103
"lm",50.1417760400188,0.141776040018797,7.47224269944584,55.8344109594217,500,0.2,0.200000000000001,82.2909199108999,1
"lm_interact",50.1404115252199,0.140411525219925,7.47927268490473,55.939519895162,500,0.2,0.200000000000001,82.2909199108999,0.998121025422862
"rf",50.0940203967653,0.0940203967653296,7.48596062176979,56.0396064306879,500,0.2,0.200000000000001,82.2909199108999,0.996338384861428
"bart",50.153680609827,0.153680609826997,7.41636944217241,55.0025357027887,500,0.2,0.200000000000001,82.2909199108999,1.01512430737972
"super",49.1490028195317,-0.850997180468318,7.60614238151321,57.8534019278515,500,0.2,0.200000000000001,82.2909199108999,0.96510160334309
"xgboost",50.1979687970514,0.197968797051413,7.67179581926889,58.8564510925516,500,0.2,0.200000000000001,82.2909199108999,0.948654054448886
"correct_model",50.130946008027,0.130946008027037,7.37637465112979,54.4109029938302,500,0.2,0.200000000000001,82.2909199108999,1.02616218234336
"unadj",50.1313834180909,0.131383418090877,5.45048117879193,29.7077450803651,500,0.4,0.400000000000003,47.8578236664634,0.702592611510374
"lm",50.0955795421606,0.0955795421605592,4.56863679866305,20.8724421980982,500,0.4,0.400000000000003,47.8578236664634,1
"lm_interact",50.1092711617089,0.109271161708927,4.55523222030242,20.7501405808813,500,0.4,0.400000000000003,47.8578236664634,1.00589401390994
"rf",50.1917743127073,0.191774312707286,4.5804706928634,20.9807117681805,500,0.4,0.400000000000003,47.8578236664634,0.994839566394191
"bart",50.1027410738034,0.102741073803426,4.55904513928294,20.7848925820194,500,0.4,0.400000000000003,47.8578236664634,1.00421217553727
"super",49.3597131696903,-0.640286830309714,4.61190335785782,21.2696525822203,500,0.4,0.400000000000003,47.8578236664634,0.981325017764788
"xgboost",50.1908801973728,0.190880197372799,4.83285167992039,23.3564553601093,500,0.4,0.400000000000003,47.8578236664634,0.893647682248325
"correct_model",50.153408288197,0.153408288196977,4.29123682881197,18.4147135209522,500,0.4,0.400000000000003,47.8578236664634,1.13346548532235
"unadj",50.0319757443751,0.0319757443751397,4.26487739872598,18.1891792261637,500,0.6,0.600000000000007,29.1674322845581,0.54430344039142
"lm",50.0878348708602,0.0878348708601832,3.14649532507153,9.90043283069702,500,0.6,0.600000000000007,29.1674322845581,1
"lm_interact",50.0720843600739,0.0720843600738568,3.13207385116151,9.80988660912967,500,0.6,0.600000000000007,29.1674322845581,1.00923009869279
"rf",50.1483318986456,0.148331898645646,2.92216902736033,8.53907182446402,500,0.6,0.600000000000007,29.1674322845581,1.15942728135074
"bart",50.0734443310066,0.0734443310065968,2.90423601759748,8.43458684591048,500,0.6,0.600000000000007,29.1674322845581,1.17378989766372
"super",49.7501535079234,-0.249846492076601,2.89642385288809,8.38927113557908,500,0.6,0.600000000000007,29.1674322845581,1.18013027242725
"xgboost",50.0388558304129,0.0388558304129349,3.07037953543438,9.42723049161421,500,0.6,0.600000000000007,29.1674322845581,1.05019526567254
"correct_model",50.0738968783301,0.0738968783300983,2.69395716342862,7.25740519838839,500,0.6,0.600000000000007,29.1674322845581,1.36418355597612
