"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","se_method","replicate_time_sec","covered_mc_mean_95"
486,"bart","two_stage","m1",583,64.1948338114244,14.1948338114244,NA,NA,7.70417531336645,-2.30836849135886,66.5032023027833,49.0949276666436,79.2947399562052,51.4032961580025,81.6031084475641,1,0,0,1,424.978740692139,"bootstrap",429.138252496719,NA
487,"bart","two_stage","m1",613,39.4552047584755,-10.5447952415245,NA,NA,7.66652203529249,-1.37700515410563,40.8322099125811,24.4290976826195,54.4813118343315,25.8061028367252,55.8583169884371,1,1,0,1,423.419620990753,"bootstrap",427.580171823502,NA
488,"bart","two_stage","m1",606,46.2620754020264,-3.7379245979736,NA,NA,5.1424081265024,0.39138569220431,45.8706897098221,36.1831406802756,56.3410101237772,35.7917549880713,55.9496244315729,1,1,0,1,423.833810806274,"bootstrap",428.267391443253,NA
489,"bart","two_stage","m1",609,44.9725488172313,-5.02745118276872,NA,NA,6.38807925327141,-0.900595116595042,45.8731439338263,32.4521435504318,57.4929540840308,33.3527386670268,58.3935492006258,1,1,0,1,426.344783306122,"bootstrap",430.503184318542,NA
490,"bart","two_stage","m1",607,52.7308718209582,2.73087182095816,NA,NA,8.3355057933702,-2.31454364856194,55.0454154695201,36.3935806730276,69.0681629688887,38.7081243215895,71.3827066174507,1,1,0,1,430.897553920746,"bootstrap",435.163997888565,NA
491,"bart","two_stage","m1",646,36.7669342821202,-13.2330657178798,NA,NA,7.22091213471089,0.523773831021103,36.2431604510991,22.6142065625586,50.9196620016818,22.0904327315375,50.3958881706607,1,1,0,1,426.006128311157,"bootstrap",430.223039627075,NA
492,"bart","two_stage","m1",599,63.6254638561581,13.6254638561581,NA,NA,8.49748927652656,-2.24784947101924,65.8733133271774,46.9706909151508,80.2802367971655,49.21854038617,82.5280862681847,1,1,0,1,421.983424663544,"bootstrap",426.119889736176,NA
493,"bart","two_stage","m1",603,51.2315328744564,1.2315328744564,NA,NA,6.23981060905841,-2.21154229276083,53.4430751672172,39.001728810351,63.4613369385618,41.2132711031118,65.6728792313226,1,1,0,1,426.887484073639,"bootstrap",431.088311433792,NA
494,"bart","two_stage","m1",597,62.1636702246772,12.1636702246772,NA,NA,6.39897039745378,-2.09766150543297,64.2613317301101,49.6219187075298,74.7054217418245,51.7195802129628,76.8030832472575,1,0,0,1,428.905988931656,"bootstrap",433.619378089905,NA
495,"bart","two_stage","m1",616,60.5817499626232,10.5817499626232,NA,NA,7.02169505694298,-3.32030936335171,63.9020593259749,46.8194805405921,74.3440193846544,50.1397899039438,77.6643287480061,1,0,0,1,436.13723897934,"bootstrap",440.423425674438,NA
496,"bart","two_stage","m1",606,56.863093717414,6.86309371741401,NA,NA,5.71934011138079,-3.177024564124,60.040118281538,45.6533930837724,68.0727943510556,48.8304176478964,71.2498189151797,1,1,0,1,425.43924498558,"bootstrap",429.589281320572,NA
497,"bart","two_stage","m1",610,56.0926388485329,6.09263884853293,NA,NA,7.09220065763644,-0.972085440598363,57.0647242891313,42.1921809884342,69.9930967086316,43.1642664290326,70.96518214923,1,1,0,1,424.91977596283,"bootstrap",429.081906795502,NA
498,"bart","two_stage","m1",620,50.3706779398169,0.370677939816915,NA,NA,6.34403123610609,-1.79294606058119,52.1636240003981,37.9366052002519,62.804750679382,39.7295512608331,64.5976967399632,1,1,0,1,422.581528186798,"bootstrap",426.711967229843,NA
499,"bart","two_stage","m1",600,50.4219587636651,0.421958763665117,NA,NA,7.42447186295718,-0.516989814823226,50.9389485784883,35.8702613080381,64.9736562192922,36.3872511228613,65.4906460341154,1,1,0,1,429.515657663345,"bootstrap",433.678751945496,NA
500,"bart","two_stage","m1",610,35.526137750572,-14.473862249428,NA,NA,6.06468140855507,0.69640036278598,34.829737387786,23.6395806120944,47.4126948890496,22.9431802493084,46.7162945262636,0,0,1,1,430.248021841049,"bootstrap",434.445543289185,NA
