"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","se_method","replicate_time_sec","covered_mc_mean_95"
133,"rf","two_stage","m1",591,61.4242629219601,11.4242629219601,NA,NA,7.14207787853405,-4.8326911128982,66.2569540348582,47.4260475052531,75.422478338667,52.2587386181513,80.2551694515652,1,0,0,1,45.3079900741577,"bootstrap",45.7688195705414,NA
134,"rf","two_stage","m1",636,65.2954371217825,15.2954371217825,NA,NA,7.00332398502354,-9.43256627734234,74.7280033991249,51.5691743390709,79.0216999044942,61.0017406164132,88.4542661818365,0,0,1,1,47.2550103664398,"bootstrap",47.7404119968414,NA
135,"rf","two_stage","m1",608,46.6499060110626,-3.35009398893743,NA,NA,6.40668212164317,-6.58868350595746,53.23858951702,34.0930397922453,59.2067722298798,40.6817232982028,65.7954557358373,1,1,0,1,46.6743192672729,"bootstrap",47.1473319530487,NA
136,"rf","two_stage","m1",607,53.6110452743446,3.61104527434461,NA,NA,7.32183693607768,-5.71007525800339,59.321120532348,39.2605085789573,67.961581969732,44.9705838369607,73.6716572277354,1,1,0,1,46.0643277168274,"bootstrap",46.5379683971405,NA
137,"rf","two_stage","m1",589,43.682466816316,-6.317533183684,NA,NA,5.48534246962649,-6.82876549167669,50.5112323079927,32.9313931329801,54.4335404996519,39.7601586246568,61.2623059913286,1,1,0,1,45.7239580154419,"bootstrap",46.2139077186584,NA
138,"rf","two_stage","m1",627,60.835472499617,10.835472499617,NA,NA,7.60548113380823,-8.57629770604559,69.4117702056626,45.929003392254,75.74194160698,54.5053010982996,84.3182393130256,1,0,0,1,47.1113250255585,"bootstrap",47.5920617580414,NA
139,"rf","two_stage","m1",623,57.5913546269312,7.59135462693123,NA,NA,6.48275219537625,-3.19296731197601,60.7843219389072,44.8853938032958,70.2973154505667,48.0783611152718,73.4902827625427,1,1,0,1,47.8542287349701,"bootstrap",48.3655128479004,NA
140,"rf","two_stage","m1",609,61.2507308632009,11.2507308632009,NA,NA,7.93712566121635,-8.30377004567781,69.5545009088788,45.6942504264482,76.8072112999537,53.998020472126,85.1109813456315,1,0,0,1,46.6539576053619,"bootstrap",47.1015129089355,NA
141,"rf","two_stage","m1",588,56.426254929956,6.426254929956,NA,NA,6.32553129680094,-6.00073541441287,62.4269903443689,44.0284414051452,68.8240684547668,50.0291768195581,74.8248038691796,1,0,0,1,45.7454550266266,"bootstrap",46.2212221622467,NA
142,"rf","two_stage","m1",634,57.8640509744611,7.86405097446109,NA,NA,6.78179800732665,-6.13933280362585,64.0033837780869,44.5719711296754,71.1561308192468,50.7113039333012,77.2954636228727,1,0,0,1,47.9076449871063,"bootstrap",48.3892912864685,NA
143,"rf","two_stage","m1",601,57.3767446557411,7.37674465574106,NA,NA,7.14232350724812,-6.68764860758488,64.0643932633259,43.378047815601,71.3754414958812,50.0656964231858,78.063090103466,1,0,0,1,46.3707530498505,"bootstrap",46.8631103038788,NA
144,"rf","two_stage","m1",606,66.5657559194464,16.5657559194464,NA,NA,6.9315498839757,-6.02584815565049,72.5916040750969,52.9801677898112,80.1513440490816,59.0060159454617,86.1771922047321,0,0,1,1,46.3100230693817,"bootstrap",46.7962455749512,NA
145,"rf","two_stage","m1",600,61.5782654009951,11.5782654009951,NA,NA,7.12821325801081,-7.14831522231883,68.7265806233139,47.607224141173,75.5493066608172,54.7555393634918,82.697621883136,1,0,0,1,45.856630563736,"bootstrap",46.3005990982056,NA
146,"rf","two_stage","m1",583,48.1853944212968,-1.81460557870324,NA,NA,6.57626575265308,-6.12200323755745,54.3073976588542,35.2961503933325,61.074638449261,41.41815363089,67.1966416868184,1,1,0,1,45.3273873329163,"bootstrap",45.7938690185547,NA
147,"rf","two_stage","m1",596,61.5650349014002,11.5650349014002,NA,NA,7.2303236243576,-6.27871852292669,67.8437534243269,47.3938610010902,75.7362088017102,53.6725795240169,82.0149273246369,1,0,0,1,45.4142315387726,"bootstrap",45.8649089336395,NA
148,"rf","two_stage","m1",619,60.896983851142,10.896983851142,NA,NA,6.46973325234713,-5.796343389466,66.693327240608,48.2165396869604,73.5774280153235,54.0128830764264,79.3737714047896,1,0,0,1,47.2178909778595,"bootstrap",47.6683027744293,NA
149,"rf","two_stage","m1",595,55.3264311635809,5.32643116358088,NA,NA,6.82221030080336,-6.86475334332636,62.1911845069072,41.9551446790481,68.6977176481136,48.8198980223745,75.56247099144,1,1,0,1,45.427238702774,"bootstrap",45.8906018733978,NA
150,"rf","two_stage","m1",587,51.6713376898023,1.67133768980228,NA,NA,6.77879270409476,-4.59002736823623,56.2613650580385,38.3851481311137,64.9575272484909,42.9751754993499,69.5475546167271,1,1,0,1,45.6918032169342,"bootstrap",46.1680362224579,NA
151,"rf","two_stage","m1",593,47.560864821212,-2.43913517878795,NA,NA,7.56935199216811,-5.87700058864357,53.4378654098556,32.7252075302561,62.396522112168,38.6022081188996,68.2735227008116,1,1,0,1,45.2840888500214,"bootstrap",45.7389397621155,NA
152,"rf","two_stage","m1",592,65.262101353999,15.262101353999,NA,NA,8.29018331534412,-8.357041758247,73.619143112246,49.0136406306896,81.5105620773083,57.3706823889367,89.8676038355553,1,0,0,1,45.4037392139435,"bootstrap",45.8819110393524,NA
153,"rf","two_stage","m1",591,53.0943508913867,3.0943508913867,NA,NA,6.44958213502604,-6.97551400363227,60.069864895019,40.4534021914027,65.7352995913707,47.428916195035,72.710813595003,1,1,0,1,45.0324742794037,"bootstrap",45.498512506485,NA
154,"rf","two_stage","m1",631,60.8357609172237,10.8357609172237,NA,NA,7.37813387771747,-7.51227657404752,68.3480374912712,46.3748842437826,75.2966375906647,53.8871608178301,82.8089141647123,1,0,0,1,48.0619223117828,"bootstrap",48.5966873168945,NA
